DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,4,73.96408839779005,IBk,None,None,SensitiveLearning,0.6296296296296297,0.7555555555555555,0.8845716198125837,0.6399901426239101,34.0,20.0,312.0,11.0
BOOKKEEPER,4,73.96408839779005,RandomForest,GreedyStepwise,None,SensitiveLearning,0.288,0.8,0.8756024096385542,0.300794852384557,36.0,89.0,243.0,9.0
BOOKKEEPER,4,73.96408839779005,RandomForest,BestFirst,None,SensitiveLearning,0.288,0.8,0.8756024096385542,0.300794852384557,36.0,89.0,243.0,9.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,GreedyStepwise,None,SensitiveLearning,0.7857142857142857,0.7333333333333333,0.9271419009370817,0.7271787449601985,33.0,9.0,323.0,12.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,BestFirst,None,SensitiveLearning,0.7857142857142857,0.7333333333333333,0.9271419009370817,0.7271787449601985,33.0,9.0,323.0,12.0
BOOKKEEPER,4,73.96408839779005,IBk,GreedyStepwise,None,SensitiveLearning,0.3707865168539326,0.7333333333333333,0.8711847389558233,0.3969135221605344,33.0,56.0,276.0,12.0
BOOKKEEPER,4,73.96408839779005,IBk,BestFirst,None,SensitiveLearning,0.3707865168539326,0.7333333333333333,0.8711847389558233,0.3969135221605344,33.0,56.0,276.0,12.0
BOOKKEEPER,5,77.89133942980096,RandomForest,None,None,None,0.8275862068965517,0.41379310344827586,0.8123717886099443,0.5051708702497453,24.0,5.0,348.0,34.0
BOOKKEEPER,5,77.89133942980096,NaiveBayes,None,None,None,0.3939393939393939,0.6724137931034483,0.7788902998925467,0.3878739890277699,39.0,60.0,293.0,19.0
BOOKKEEPER,5,77.89133942980096,IBk,None,None,None,0.78125,0.43103448275862066,0.8080248119566279,0.5059799266782861,25.0,7.0,346.0,33.0
BOOKKEEPER,5,77.89133942980096,RandomForest,GreedyStepwise,None,None,0.7352941176470589,0.43103448275862066,0.8282211585425417,0.49031534191567266,25.0,9.0,344.0,33.0
BOOKKEEPER,5,77.89133942980096,NaiveBayes,GreedyStepwise,None,None,0.8571428571428571,0.41379310344827586,0.8114437823581128,0.5134276278895883,24.0,4.0,349.0,34.0
BOOKKEEPER,5,77.89133942980096,IBk,GreedyStepwise,None,None,0.6511627906976745,0.4827586206896552,0.8235078636319234,0.49360676833775985,28.0,15.0,338.0,30.0
BOOKKEEPER,5,77.89133942980096,RandomForest,BestFirst,None,None,0.7352941176470589,0.43103448275862066,0.8282211585425417,0.49031534191567266,25.0,9.0,344.0,33.0
BOOKKEEPER,5,77.89133942980096,NaiveBayes,BestFirst,None,None,0.8571428571428571,0.41379310344827586,0.8114437823581128,0.5134276278895883,24.0,4.0,349.0,34.0
BOOKKEEPER,5,77.89133942980096,IBk,BestFirst,None,None,0.6511627906976745,0.4827586206896552,0.8235078636319234,0.49360676833775985,28.0,15.0,338.0,30.0
BOOKKEEPER,5,77.89133942980096,RandomForest,None,None,SensitiveLearning,0.5172413793103449,0.5172413793103449,0.8318354986812543,0.43792126599589754,30.0,28.0,325.0,28.0
BOOKKEEPER,5,77.89133942980096,NaiveBayes,None,None,SensitiveLearning,0.37272727272727274,0.7068965517241379,0.7788902998925467,0.3720508811824901,41.0,69.0,284.0,17.0
BOOKKEEPER,5,77.89133942980096,IBk,None,None,SensitiveLearning,0.78125,0.43103448275862066,0.8080248119566279,0.5059799266782861,25.0,7.0,346.0,33.0
BOOKKEEPER,5,77.89133942980096,RandomForest,GreedyStepwise,None,SensitiveLearning,0.45588235294117646,0.5344827586206896,0.8118589430497216,0.40079274682217847,31.0,37.0,316.0,27.0
BOOKKEEPER,5,77.89133942980096,RandomForest,BestFirst,None,SensitiveLearning,0.45588235294117646,0.5344827586206896,0.8118589430497216,0.40079274682217847,31.0,37.0,316.0,27.0
BOOKKEEPER,5,77.89133942980096,NaiveBayes,GreedyStepwise,None,SensitiveLearning,0.6086956521739131,0.4827586206896552,0.8114437823581128,0.4726261762189908,28.0,18.0,335.0,30.0
BOOKKEEPER,5,77.89133942980096,NaiveBayes,BestFirst,None,SensitiveLearning,0.6086956521739131,0.4827586206896552,0.8114437823581128,0.4726261762189908,28.0,18.0,335.0,30.0
BOOKKEEPER,5,77.89133942980096,IBk,GreedyStepwise,None,SensitiveLearning,0.6511627906976745,0.4827586206896552,0.8235078636319234,0.49360676833775985,28.0,15.0,338.0,30.0
BOOKKEEPER,5,77.89133942980096,IBk,BestFirst,None,SensitiveLearning,0.6511627906976745,0.4827586206896552,0.8235078636319234,0.49360676833775985,28.0,15.0,338.0,30.0
BOOKKEEPER,6,81.3566739606127,RandomForest,None,None,None,0.9473684210526315,0.6428571428571429,0.9090009652509653,0.738124511009277,36.0,2.0,368.0,20.0
BOOKKEEPER,6,81.3566739606127,NaiveBayes,None,None,None,0.40860215053763443,0.6785714285714286,0.8708494208494209,0.4138866900373175,38.0,55.0,315.0,18.0
BOOKKEEPER,6,81.3566739606127,IBk,None,None,None,0.7954545454545454,0.625,0.8862934362934363,0.6607559991505627,35.0,9.0,361.0,21.0
