file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java,org.apache.hedwig.server.persistence.TestReadAheadCacheWhiteBox$MyReadAheadCache,innerclass,5,5,0,5,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/multiplex/MultiplexHChannelManager.java,org.apache.hedwig.client.netty.impl.multiplex.MultiplexHChannelManager,class,23,28,5,23,44,2,0,38,113,0.81052625,0.0,0.0,19,0,5,2,12,0,17,0,0,0,5,1,0,1,3,1,5,0,7,166,20,1,14,3,0,10,0,25,4,23,3,0,0,0,98,1,6
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/bookkeeper-server/src/main/java/org/apache/bookkeeper/util/EntryFormatter.java,org.apache.bookkeeper.util.EntryFormatter,class,5,9,4,5,5,1,2,8,2,0.5833333,0.0,0.0,4,1,4,0,0,0,4,2,0,0,3,2,1,0,1,1,1,0,0,26,1,0,0,1,0,2,0,8,1,7,1,0,0,0,49,1025,2
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-client/src/main/java/org/apache/hedwig/client/handlers/CloseSubscriptionResponseHandler.java,org.apache.hedwig.client.handlers.CloseSubscriptionResponseHandler,class,10,13,3,10,6,2,0,8,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,26,0,0,0,0,0,5,0,1,3,1,1,0,0,0,47,1,1
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-server/src/main/java/org/apache/hedwig/server/netty/ServerStats.java,org.apache.hedwig.server.netty.ServerStats,class,4,15,10,5,10,1,0,6,16,0.77777773,0.0,0.0,9,1,8,0,1,0,9,0,0,0,6,2,0,1,0,5,1,0,0,123,5,1,0,0,0,0,3,6,0,6,1,0,2,0,27,1,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-server/src/test/java/org/apache/hedwig/server/delivery/TestThrottlingDelivery.java,org.apache.hedwig.server.delivery.TestThrottlingDelivery$ThrottleDeliveryServerConfiguration,innerclass,1,1,0,1,2,4,0,0,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java,org.apache.hedwig.server.integration.TestHedwigHub$TestCallback$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1,1
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java,org.apache.hedwig.server.integration.TestHedwigHub$TestCallback$Anonymous2,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,-1,1
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/bookkeeper-server/src/test/java/org/apache/bookkeeper/test/PortManager.java,org.apache.bookkeeper.test.PortManager,class,1,7,6,1,6,1,0,5,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,3,28,2,1,1,2,0,2,0,4,0,3,4,0,0,0,40,1,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,org.apache.bookkeeper.client.BookKeeper$SyncOpenCallback,innerclass,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,1,0,0,0,0,22,8,1
